tau	1	0.0
tay	1	0.0
tchang	1	0.0
tchong	1	0.0
tchuong	1	0.0
teck	1	0.0
tek	1	0.0
teng	1	0.0
thanathan	1	0.0
them	1	0.0
then	1	0.0
theo	1	0.0
thien	1	0.0
thin	1	0.0
thom	1	0.0
thu	1	0.0
thua	1	0.0
thuyen	1	0.0
toat	1	0.0
tokuyuki	1	0.0
tom	1	0.0
tony	1	0.0
trandang	1	0.0
trau	1	0.0
truc	1	0.0
truyen	1	0.0
tsai	1	0.0
tsoi	1	0.0
tsu	1	0.0
tuot	1	0.0
uan	1	0.0
um	1	0.0
vanderhoff	1	0.0
vian	1	0.0
vithi	1	0.0
voang	1	0.0
vothanh	1	0.0
vui	1	0.0
wei	1	0.0
xau	1	0.0
xo	1	0.0
xong	1	0.0
ya	1	0.0
yang	1	0.0
yanisa	1	0.0
yeh	1	0.0
yi	1	0.0
yoon	1	0.0
